"","GSP1","COS1","GSP2","COS2","GSP3","COS3","GSP4","COS4","GSP5","COS5","combined"
"gene1",0.0321313068264137,1,0.0528893452874534,1,0.155177708711406,1,0.286474236993549,0.928059437238487,0.579990836652,0.990370654005405,0.97229395548117
"gene2",0.766009121085062,1,0.737533011663739,1,0.505712774559265,1,0.3344869232994,0.999927324706252,0.323084360105925,0.987241306897843,0.979234735779588
"gene3",0.000588272798780487,1,0.000866342924771724,1,0.00257999963600397,0.999990288553548,0.00658507155888666,0.981816937507588,0.0339151330446669,0.99727714193437,0.00370233903347694
"gene4",0.681118967427511,1,0.676806906093555,1,0.531416475887305,0.99999988549629,0.463263423188324,0.985287262321462,0.384957223764203,0.979260913127027,0.976160619369197
"gene5",0.75803631589163,1,0.753738738605221,1,0.611703906068545,0.999718381956175,0.456654004584425,0.999903512378159,0.338307292365776,1,0.980236262980607
"gene6",0.966024785811552,1,0.963066670021193,1,0.796402996220162,1,0.712198437688778,0.991357611364038,0.667276119990264,0.999997947249085,0.982785546575299
"gene7",0.70580517132968,1,0.393370474667334,1,0.239535153823739,1,0.2892701504928,1,0.310820503824718,0.993703592311756,0.981904205246656
"gene8",0.304317472489981,1,0.346513967460751,1,0.44920142932973,1,0.348011595427965,0.865330575099316,0.371200279380737,0.579419794558413,0.966825047253032
"gene9",0.97327692437805,1,0.900672280867701,0.999999380309292,0.893607723223629,0.999991150098891,0.979590623402903,0.999910765792048,0.940376089282922,0.990744297736549,0.984127613992641
"gene10",0.784630503604495,1,0.794653758246305,1,0.820922465151911,1,0.574485281525106,0.999999837249458,0.332917381107133,0.998603148468411,0.991135142573182
"gene11",0.729669933310239,1,0.817328098158085,1,0.653516999966671,1,0.566289606350284,0.999999955362745,0.47347471648395,1,0.980397934444237
"gene12",0.444639504215394,1,0.186581374846828,0.999968928768039,0.169133741797326,1,0.125955893050593,1,0.140756005859576,0.998201604716366,0.989264427598551
"gene13",0.0385502992638959,1,0.0547053401345376,1,0.0946099723763154,0.759714837461329,0.195622084074546,0.983760632135535,0.247801928326055,1,0.96710990101803
"gene14",0.102979436058435,1,0.183239598433594,1,0.281937373687634,0.999999903317841,0.144168265841248,0.922720713086457,0.0322842628147924,0.759745692489249,0.961988289148522
"gene15",0.454951085460703,1,0.447577885377358,1,0.541277831127249,1,0.276482044264308,0.999997964456566,0.1651316702081,0.907696919812826,0.975154914161996
"gene16",0.931928117247269,1,0.990073851214884,1,0.982791156336747,1,0.982585210689034,1,0.92105790843136,0.999999764141047,0.986546122615141
"gene17",0.845299853889717,1,0.841626293608421,1,0.85557157984731,1,0.674643648079244,0.999998457350887,0.398913822572335,0.708609502649849,0.976310282742092
"gene18",0.343022443638782,1,0.481920050805574,0.999955684195933,0.355725039456207,1,0.148585407369991,0.999923001196847,0.122836970889143,0.999896049739812,0.97930260464336
"gene19",0.939666369139894,1,0.997127817552729,1,0.999176902003369,0.657286399606408,0.984322272701619,1,0.948297295742053,0.98510054757385,0.989088030495079
"gene20",0.805067334864962,1,0.921138848904486,1,0.870386742288112,0.994821954314763,0.711344871601714,0.999999875793627,0.61811349280919,0.998435583754869,0.9913819733014
"gene21",0.904157373813399,1,0.637485494931283,1,0.277431230675077,1,0.274475585134816,0.999999972157951,0.272279834563648,0.999998923562832,0.98015829958107
"gene22",0.0575701365382475,1,0.052616078456538,1,0.0115325094221123,1,0.0092605090347837,1,0.107765050312748,1,0.961763697083874
"gene23",0.955685402917832,1,0.728592195746792,1,0.16729916127347,1,0.0480215915407934,0.999995212826511,0.0569615572346213,1,0.97926312705011
"gene24",0.840241955638357,1,0.498658454584413,1,0.43055645505874,1,0.382931626024863,1,0.277271010763254,0.64994904935561,0.975213428150235
"gene25",0.965043538737859,1,0.939464536459305,1,0.707366995868799,0.999967506286282,0.79991898407274,1,0.926990223500656,0.998387782824143,0.99078693020657
"gene26",0.0380949642054516,1,0.144488298497966,1,0.522322397951912,1,0.501220946718853,1,0.522957959345189,0.416982096247628,0.972812847829609
"gene27",0.209127928952517,1,0.183122059376931,1,0.253341564946099,0.999044990104364,0.196610499354027,0.997056886774335,0.219273809409041,0.821655852154399,0.983999244770887
"gene28",0.420642747440705,1,0.262093485382927,1,0.204360780948453,1,0.325995636319089,1,0.626158555739806,1,0.979674559465784
"gene29",0.318838765536463,1,0.464128428410808,1,0.197281553718992,1,0.100461990847208,0.952827377260309,0.205786449262504,0.996898998688934,0.983958592625425
"gene30",0.95648499672505,1,0.996723512292815,1,0.976248169691599,1,0.930987147530733,0.999990762215551,0.930854175706641,0.99970492407888,0.988873472973618
"gene31",0.943552395822899,1,0.935406737132892,1,0.947134078304765,1,0.669302621910882,0.999999162334389,0.20986460238911,0.837282127597478,0.978047352562703
"gene32",0.324769836988239,1,0.216767780099623,1,0.0656867623363226,1,0.0416404904232807,1,0.0636304434065932,0.999999722734006,0.977292680143287
"gene33",0.821557788878488,1,0.680228637467277,1,0.13636782156845,1,0.0227783164143608,0.949242473602132,0.0327017001239599,1,0.971113092772472
"gene34",0.0956254412472927,1,0.0292339486246966,1,0.0766758910527584,1,0.446375572228002,1,0.870441803563141,0.69561786181002,0.971649835622196
"gene35",0.134580440402226,1,0.201145637456283,1,0.648345273926834,1,0.592442765165433,0.978470424920061,0.474212226663883,0.84956758044038,0.970961408469575
"gene36",0.450611077719305,1,0.286205819431087,1,0.649089794714231,1,0.848334206870162,0.999982317180237,0.589672376480344,0.495283276397263,0.975383319311508
"gene37",0.0958431502873147,1,0.103516540455891,1,0.349225032318241,1,0.479110785028034,0.989573302188352,0.491766013006676,0.78105598607995,0.973624111239987
"gene38",0.0737757362794171,1,0.109659657732748,1,0.360991598610841,1,0.48522848626111,0.999522037712098,0.280466761449674,0.317587831740672,0.973151110241817
"gene39",0.0125941162979049,1,0.00698699589384977,1,0.00143599911735848,1,0.00038149130976195,1,0.000398192374703288,1,0.00180125100007089
"gene40",0.729454277463995,1,0.490256271819311,1,0.429001266238562,1,0.333365844493371,0.97906292931305,0.184481433783963,0.999115449385196,0.977459293228823
"gene41",0.360681986284653,1,0.138932911162374,1,0.0523890865747516,1,0.0575521392886289,0.999842687741595,0.132011965056295,1,0.977734563697931
"gene42",0.0308359946787067,1,0.349607696547612,1,0.586615846675518,1,0.707306506684719,0.827776615835018,0.579879221953321,0.585979396363724,0.963941831265844
"gene43",0.523415277359272,1,0.254454157950003,1,0.411301822326036,0.999999941282232,0.413494809872837,0.999998975440801,0.16403327088865,0.13448661031333,0.973930775423182
"gene44",0.111644738269357,1,0.0306487969942673,1,0.114553314299634,0.999963223578523,0.410562649344733,1,0.318092955449198,0.46640298720076,0.971271915559649
"gene45",0.915354074455947,1,0.825288179963092,1,0.64359751047078,1,0.746256766037052,0.77057200576311,0.431234328790333,1,0.976459051540378
"gene46",0.270306526099211,1,0.131598581533805,0.999999970389062,0.104218471740842,0.999945496954866,0.217576825782584,0.972178595442567,0.475395166161113,0.999999675882413,0.975801069991013
