"","x"
"gene1",1
"gene2",1
"gene3",1
"gene4",1
"gene5",1
"gene6",1
"gene7",1
"gene8",1
"gene9",1
"gene10",1
"gene11",1
"gene12",1
"gene13",1
"gene14",1
"gene15",1
"gene16",1
"gene17",1
"gene18",1
"gene19",1
"gene20",1
"gene21",1
"gene22",1
"gene23",1
"gene24",1
"gene25",1
"gene26",1
"gene27",1
"gene28",1
"gene29",1
"gene30",1
"gene31",1
"gene32",1
"gene33",1
"gene34",1
"gene35",1
"gene36",1
"gene37",1
"gene38",1
"gene39",1
"gene40",1
"gene41",1
"gene42",1
"gene43",1
"gene44",1
"gene45",1
"gene46",1
"gene47",1
"gene48",1
"gene49",1
"gene50",1
"gene51",1
"gene52",1
"gene53",1
"gene54",1
"gene55",1
"gene56",1
"gene57",1
"gene58",1
"gene59",1
"gene60",1
"gene61",1
"gene62",1
"gene63",1
"gene64",1
"gene65",1
"gene66",1
"gene67",1
"gene68",1
"gene69",1
"gene70",1
"gene71",1
"gene72",1
"gene73",1
"gene74",1
"gene75",1
"gene76",1
"gene77",1
"gene78",1
"gene79",1
"gene80",1
"gene81",1
"gene82",1
"gene83",1
"gene84",1
"gene85",1
"gene86",1
"gene87",1
"gene88",1
"gene89",1
"gene90",1
"gene91",1
"gene92",1
"gene93",1
"gene94",1
"gene95",1
"gene96",1
"gene97",1
"gene98",1
"gene99",1
"gene100",1
"gene101",1
"gene102",1
"gene103",1
"gene104",1
"gene105",1
"gene106",1
"gene107",1
"gene108",1
"gene109",1
"gene110",1
"gene111",1
"gene112",1
"gene113",1
"gene114",1
"gene115",1
"gene116",1
"gene117",1
"gene118",1
"gene119",1
"gene120",1
"gene121",1
"gene122",1
"gene123",1
"gene124",1
"gene125",1
"gene126",1
"gene127",1
"gene128",1
"gene129",1
"gene130",1
"gene131",1
"gene132",1
"gene133",1
"gene134",1
"gene135",1
"gene136",1
"gene137",1
"gene138",1
"gene139",1
"gene140",1
"gene141",1
"gene142",1
"gene143",1
"gene144",1
"gene145",1
"gene146",1
"gene147",1
"gene148",1
"gene149",1
"gene150",1
"gene151",1
"gene152",1
"gene153",1
"gene154",1
"gene155",1
"gene156",1
"gene157",1
"gene158",1
"gene159",1
"gene160",1
"gene161",1
"gene162",1
"gene163",1
"gene164",1
"gene165",1
"gene166",1
"gene167",1
"gene168",1
"gene169",1
"gene170",1
"gene171",1
"gene172",1
"gene173",1
"gene174",1
"gene175",1
"gene176",1
"gene177",1
"gene178",1
"gene179",1
"gene180",1
"gene181",1
"gene182",1
"gene183",1
"gene184",1
"gene185",1
"gene186",1
"gene187",1
"gene188",1
"gene189",1
"gene190",1
"gene191",1
"gene192",1
"gene193",1
"gene194",1
"gene195",1
"gene196",1
"gene197",1
"gene198",1
"gene199",1
"gene200",1
"gene201",1
"gene202",1
"gene203",1
"gene204",1
"gene205",1
"gene206",1
"gene207",1
"gene208",1
"gene209",1
"gene210",1
"gene211",1
"gene212",1
"gene213",1
"gene214",1
"gene215",1
"gene216",1
"gene217",1
"gene218",1
"gene219",1
"gene220",1
"gene221",1
"gene222",1
"gene223",1
"gene224",1
"gene225",1
"gene226",1
"gene227",1
"gene228",1
"gene229",1
"gene230",1
"gene231",1
"gene232",1
"gene233",1
"gene234",1
"gene235",1
"gene236",1
"gene237",1
"gene238",1
"gene239",1
"gene240",1
"gene241",1
"gene242",1
"gene243",1
"gene244",1
"gene245",1
"gene246",1
"gene247",1
"gene248",1
"gene249",1
"gene250",1
"gene251",1
"gene252",1
"gene253",1
"gene254",1
"gene255",1
"gene256",1
"gene257",1
"gene258",1
"gene259",1
"gene260",1
"gene261",1
"gene262",1
"gene263",1
"gene264",1
"gene265",1
"gene266",1
"gene267",1
"gene268",1
"gene269",1
"gene270",1
"gene271",1
"gene272",1
"gene273",1
"gene274",1
"gene275",1
"gene276",1
"gene277",1
"gene278",1
"gene279",1
"gene280",1
"gene281",1
"gene282",1
"gene283",1
"gene284",1
"gene285",1
"gene286",1
"gene287",1
"gene288",1
"gene289",1
"gene290",1
"gene291",1
"gene292",1
"gene293",1
"gene294",1
"gene295",1
"gene296",1
"gene297",1
"gene298",1
"gene299",1
"gene300",1
"gene301",1
"gene302",1
"gene303",1
"gene304",1
"gene305",1
"gene306",1
"gene307",1
"gene308",1
"gene309",1
"gene310",1
"gene311",1
"gene312",1
"gene313",1
