"","GSP1","COS1","GSP2","COS2","GSP3","COS3","GSP4","COS4","GSP5","COS5","combined"
"GAPDH",0.0276773422053732,0.0276773422053732,0.00265643580086949,0.00265643580086949,0.000466616295969668,0.000466616295969668,0.000639560254896754,0.000639560254896754,0.00195348503816484,0.00195348503816484,0.00107966848270857
"MAPKAPK2",0.0114833691537688,0.0114833691537688,0.00185751216699492,0.00185751216699492,0.0004017095770813,0.0004017095770813,0.00018456400576039,0.00018456400576039,0.000195101752360483,0.000195101752360483,0.000366073420656199
"MCL1",0.000230121070223688,0.000230121070223688,1.01700727028753e-06,1.01700727028753e-06,3.44801540652639e-08,3.44801540652639e-08,3.18000083709968e-07,3.18000083709968e-07,5.09533181203281e-08,5.09533181203281e-08,9.47682724516952e-08
"TMEM109",0.541308745129472,0.541308745129472,0.34722002665523,0.34722002665523,0.320381109019551,0.320381109019551,0.353103251073652,0.353103251073652,0.50167046993959,0.50167046993959,0.406347229299842
"TMEM189",0.507811080867095,0.507811080867095,0.311347285425547,0.311347285425547,0.353083541085611,0.353083541085611,0.560689562546455,0.560689562546455,0.672635525572936,0.672635525572936,0.477714513725188
"ITPK1",0.0238611867202732,0.0238611867202732,0.0168505362518978,0.0168505362518978,0.00868792898676074,0.00868792898676074,0.00567726627668175,0.00567726627668175,0.00611061069196506,0.00611061069196506,0.0089912851436087
"UBXN11",0.770936316797005,0.770936316797005,0.647109483878735,0.647109483878735,0.504854778775439,0.504854778775439,0.46502187375204,0.46502187375204,0.396621063829135,0.396621063829135,0.575420995907059
"SCARB1",0.134414954047659,0.134414954047659,0.069538304757158,0.069538304757158,0.0898692530473175,0.0898692530473175,0.187573402370504,0.187573402370504,0.28161722590742,0.28161722590742,0.12118930863637
"NUDT21",0.0330672765315314,0.0330672765315314,0.0118444367837462,0.0118444367837462,0.00775054049796098,0.00775054049796098,0.00452664951920911,0.00452664951920911,0.0040031475207899,0.0040031475207899,0.00699962889300643
"LDHB",0.000206708568000646,0.000206708568000646,1.71686361339907e-05,1.71686361339907e-05,2.70898446125267e-05,2.70898446125267e-05,0.000256790330473433,0.000256790330473433,0.00189942381667696,0.00189942381667696,4.78842938684831e-05
"SEC62",0.0603096173364539,0.0603096173364539,0.0106205606308468,0.0106205606308468,0.00770954810091617,0.00770954810091617,0.0114951921650439,0.0114951921650439,0.0200602838553721,0.0200602838553721,0.0132574973303898
"SRF",0.500543787999484,0.500543787999484,0.706853697732882,0.706853697732882,0.418673812413994,0.418673812413994,0.21280185111474,0.21280185111474,0.156477719681146,0.156477719681146,0.345704983041774
"EEF1G",0.305167214984053,0.305167214984053,0.244468332341101,0.244468332341101,0.173229724391011,0.173229724391011,0.20586925489575,0.20586925489575,0.356833385665662,0.356833385665662,0.243853895333177
"COX6C",7.80608839056063e-05,7.80608839056063e-05,5.93482460320427e-06,5.93482460320427e-06,3.85945775915886e-06,3.85945775915886e-06,2.75768642210572e-06,2.75768642210572e-06,3.14771206455511e-06,3.14771206455511e-06,4.46139727516837e-06
"ESRP1",0.00149423935846027,0.00149423935846027,0.00139978559420095,0.00139978559420095,0.00105593324425357,0.00105593324425357,0.000784417457522224,0.000784417457522224,0.00099791530197324,0.00099791530197324,0.00108516813023596
"RPL39",0.363974983871999,0.363974983871999,0.439658690287078,0.439658690287078,0.377284555964955,0.377284555964955,0.253383790847284,0.253383790847284,0.268574318261658,0.268574318261658,0.331670972292512
"MFF",0.113621282594878,0.113621282594878,0.0251976424326879,0.0251976424326879,0.0110018102202348,0.0110018102202348,0.00348046335049446,0.00348046335049446,0.00140751956945273,0.00140751956945273,0.00439858403713311
