"","x"
"MAPKAPK2",1
"LTBP2",1
"MCL1",2
"COX6C",1
"CPD",1
"ARL6IP1",1
"LUM",2
"B2M",2
"FN1",2
"SRP14",2
"LDHB",1
"TMBIM6",1
"ATP5EP2",1
"PPP3CA",2
"EEF1B2",1
"NACA",1
"FXR1",1
"AGR3",1
"ACADSB",1
"PEG10",1
"TSPAN13",1
"ARPC5",1
"CYB5A",1
"YWHAZ",1
"PRSS23",1
"IL13RA1",1
"DBI",1
"ACACA",1
"ARF1",1
"SPINT2",1
"SCD",1
"CERS2",1
"RPN2",1
"TP53INP2",1
"HLA-B",2
"H2AFZ",1
"MGST1",1
"GNAS",1
"MGP",1
"TMED2",1
"CD46",1
"GOLM1",1
"CACYBP",1
"SH3BGRL",1
"FAM214A",1
"PSMD6",1
"CD24",1
"OAT",1
"SQLE",1
"WSB1",2
"HNRNPA2B1",1
"SNRPE",1
"RBM3",1
"MT2A",1
"SLC25A5",1
"TXN",1
"RAB6A",1
"RDH10",1
"PYGL",1
"FAM3C",2
"HNRNPK",1
"SF3B6",1
"PTGES3",1
"DUSP14",1
"RAB11A",1
"TMOD3",1
"EIF2S2",1
"FOXA1",1
"MSL1",1
"SUMO1",1
"TUBA1B",1
"ATP1A1",1
"LAMP2",1
"UQCRB",1
"ADAR",1
"ATPIF1",1
"GALNT7",1
"PPA1",1
"COPB2",1
"HSPD1",1
"DNAJC13",1
"TPM3",1
"LEO1",1
"PCMT1",1
"COL6A3",2
"IGFBP7",2
"MMP2",2
"HTRA1",2
"ADAM10",2
"TNC",2
"ENAH",2
"COL5A2",2
"POSTN",2
"LGALS3",2
"LRRC75A",2
"TMEM50A",2
"KLF6",2
"COL6A1",2
"MMP14",2
"STK38L",2
"EML4",2
"SPARC",2
"COL12A1",2
"ANXA2",2
"IQGAP1",2
"COL3A1",2
"FTL",2
"BZW1",2
"TPT1",2
"LOX",2
"CALD1",2
"ITGB2",2
"CAPN2",1
"GJA1",2
"SLC38A2",2
"TMSB4X",2
"EEF1A1",2
"RPL22",2
"CSDE1",2
"TPM4",2
"FAP",2
"DCN",2
"RAC1",2
"GAS1",2
"ITM2B",2
"ITGAV",2
"SAT1",2
"ANTXR1",2
"FABP5",2
"THBS2",2
"COL1A2",2
"C1S",2
"CTSS",2
"FBLN2",2
"ANKH",2
"SOD2",2
"CD99",2
"VCAN",2
"CREG1",2
"COL1A1",2
"RTN4",1
"ANXA5",2
"ARPC1B",1
"CYSTM1",2
"FCGR3A",2
"ARMC1",2
"IFI27",2
"COL8A2",2
"EIF4G2",2
"HLA-DRA",2
"ACTN1",2
"ANKIB1",2
"ZFP36L1",2
"HLA-C",2
"MAFB",2
"NAP1L1",2
"CTSL",2
"COL10A1",2
"QKI",2
"VIM",2
"CD55",2
"PALLD",2
"SFRP2",2
"COL6A2",2
"CTSK",2
"CRISPLD2",2
"LRP1",2
"MXRA5",2
"SPARCL1",2
"PTPRC",2
"TMEM123",1
"ITGB6",2
"MARCKS",2
"MFAP2",2
"FSTL1",2
"SULF1",2
"DPYSL3",2
"RNF149",2
"DCAF5",2
"BASP1",2
"TBC1D20",2
"RARRES1",2
"COL5A1",2
"BRI3",2
"TIMP2",2
"CTHRC1",2
"GLIS2",2
"EIF4H",2
"CD53",2
"PRNP",2
"GJB2",2
"PPIC",2
"S100A10",2
"HLA-DPA1",2
"ARPC2",2
"TGM2",2
"CISH",2
"ADAM12",2
"WDR82",2
"CYBB",2
"MS4A6A",2
"ASPN",2
"C1orf198",2
"FAM198B",2
"ZBED5",2
"SLCO2B1",2
"CILP",2
"NID1",2
"CCDC80",2
"TMEM64",2
"GBP1",2
"HNRNPA1L2",2
"SPP1",2
"PRRX1",2
"SEC23A",2
"DKK3",2
"FBN1",2
"ADAMTS2",2
"MMP13",2
