"","GSP1","COS1","GSP2","COS2","GSP3","COS3","GSP4","COS4","GSP5","COS5","combined"
"MAPKAPK2",0.0633857356514839,0.0633857356514839,0.0346539060353326,0.0346539060353326,0.0138849731937372,0.0138849731937372,0.0054291388910499,0.0054291388910499,0.00397463624123406,0.00397463624123406,0.00905486620525564
"MCL1",0.296694807607743,0.296694807607743,0.150996396638759,0.150996396638759,0.0804992179195381,0.0804992179195381,0.101791153352791,0.101791153352791,0.247877839748163,0.247877839748163,0.140379234675975
"LDHB",0.0139117095660122,0.0139117095660122,0.00646327047836182,0.00646327047836182,0.00982708032874535,0.00982708032874535,0.0152888129697963,0.0152888129697963,0.013551391278076,0.013551391278076,0.0106941789874306
"COX6C",0.721517333754334,0.721517333754334,0.822813544226223,0.822813544226223,0.718791670310248,0.718791670310248,0.476665618846748,0.476665618846748,0.347302333316653,0.347302333316653,0.656099380257108
"COL6A3",0.060598263112647,0.060598263112647,0.0711323384936045,0.0711323384936045,0.137315699475852,0.137315699475852,0.0551431496134368,0.0551431496134368,0.0190818473738958,0.0190818473738958,0.046292332660214
"RPS5",0.0653211276956882,0.0653211276956882,0.0331113136997833,0.0331113136997833,0.0509291704792423,0.0509291704792423,0.063438117669644,0.063438117669644,0.0599620165334004,0.0599620165334004,0.0512656077123979
"H3F3A",0.283684930515205,0.283684930515205,0.155645491661748,0.155645491661748,0.0977329970037775,0.0977329970037775,0.0910625497644161,0.0910625497644161,0.122954106867145,0.122954106867145,0.128554936319375
"ZNF146",0.168344291941068,0.168344291941068,0.104083200375545,0.104083200375545,0.0825245894402846,0.0825245894402846,0.138263009277364,0.138263009277364,0.288035980141114,0.288035980141114,0.131864409818275
"PLK2",0.214056369796777,0.214056369796777,0.0608145867869306,0.0608145867869306,0.0341108802317971,0.0341108802317971,0.0445287277853386,0.0445287277853386,0.0575403462554906,0.0575403462554906,0.055673235842614
"RPL34",0.000884359445451954,0.000884359445451954,0.000818423183941652,0.000818423183941652,0.0104853825185237,0.0104853825185237,0.121551077297281,0.121551077297281,0.245088590640177,0.245088590640177,0.00203330459304674
"SUB1",0.122054363745138,0.122054363745138,0.145395287426435,0.145395287426435,0.129200076244728,0.129200076244728,0.0694560746858071,0.0694560746858071,0.045272242431593,0.045272242431593,0.0847474328367315
"H2AFJ",0.0426514153998779,0.0426514153998779,0.00384376809957199,0.00384376809957199,0.000486744271625872,0.000486744271625872,0.000258727469046871,0.000258727469046871,0.000226585073677565,0.000226585073677565,0.000470971669735087
